Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.25,-0.777,0.25,0.777,0,0,0,0,0,0,28.61,-80.6,0.999,92.188,0,0,0,654.704,86.985,2.149,0.024,NaN,27.546,NaN,0.006,1.542e5,1.424,-1.278e-6,0.84,-1.149e-4,0.446,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.945e-7,3,7.069,90,0,6.541,59,1013.25,1116.761,0.01,0.007
0.02,-5.358e-4,-0.107,-0.333,0.107,0.333,0,0,0,0,0,0,28.61,-80.6,0.999,90.944,0,0,0,654.689,86.97,2.149,0.024,NaN,27.546,NaN,0.006,1.532e5,4.272,-1.028e-7,0.84,-9.364e-6,0.446,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.265e-7,3,7.069,90,0,6.503,59,1013.25,1116.761,0.01,0.009
0.03,3.506e-4,0.07,0.218,0.07,0.218,0,0,0,0,0,0,28.61,-80.6,0.999,89.378,0,0,0,654.639,86.919,2.148,0.024,NaN,27.545,NaN,0.006,1.522e5,7.81,2.909e-8,0.841,2.683e-6,0.447,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.791e-7,3,7.069,90,0,6.464,59,1013.25,1116.761,0.01,0.01
0.04,0.003,0.418,1.08,0.418,1.08,0,0,0,0,0,0,28.61,-80.6,0.999,86.28,0,0,0,654.573,86.854,2.148,0.024,NaN,27.543,NaN,0.006,1.516e5,13.345,5.99e-6,0.842,5.568e-4,0.448,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.662e-6,3,7.069,90,0,6.425,59,1013.25,1116.761,0.01,0.011
0.05,0.01,1.049,1.963,1.049,1.963,0,0,0,0,0,0,28.61,-80.6,0.999,80.671,0,0,0,654.508,86.789,2.148,0.024,NaN,27.542,NaN,0.006,1.524e5,19.007,8.97e-5,0.841,0.008,0.447,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.175e-6,3,7.069,90,0,6.386,59,1013.25,1116.761,0.01,0.011
0.06,0.025,1.974,2.876,1.974,2.876,0,0,0,0,0,0,28.61,-80.6,0.999,72.866,0,0,0,654.354,86.635,2.147,0.024,NaN,27.538,NaN,0.006,1.578e5,24.866,5.406e-4,0.837,0.046,0.443,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.857e-6,3,7.069,90,0,6.404,59,1013.249,1116.761,0.01,0.012
0.07,0.051,3.204,3.821,3.204,3.821,0,0,0,0,0,0,28.61,-80.6,0.999,63.489,0,0,0,654.201,86.481,2.147,0.024,NaN,27.534,NaN,0.006,1.69e5,30.922,0.002,0.83,0.15,0.436,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.275e-5,3,7.069,90,0,6.423,59,1013.248,1116.761,0.01,0.014
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.091,4.737,4.766,4.737,4.766,0,0,0,0,0,0,28.61,-80.6,0.999,53.666,0,0,0,654.047,86.328,2.146,0.024,NaN,27.53,NaN,0.007,1.883e5,36.979,0.005,0.819,0.329,0.425,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.885e-5,3,7.069,90,0,6.441,59,1013.247,1116.761,0.01,0.015
0.09,0.147,6.575,5.712,6.575,5.712,0,0,0,0,0,0,28.61,-80.6,0.999,44.492,0,0,0,653.872,86.153,2.146,0.024,NaN,27.526,NaN,0.008,2.171e5,43.039,0.012,0.805,0.54,0.411,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.616e-5,3,7.069,90,0,6.459,58.999,1013.245,1116.761,0.01,0.016
0.1,0.224,8.723,6.678,8.723,6.678,0,0,0,0,0,0,28.61,-80.6,0.999,36.595,0,0,0,653.614,85.895,2.145,0.024,NaN,27.52,NaN,0.01,2.559e5,49.229,0.022,0.789,0.725,0.395,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.471e-5,3,7.069,90,0,6.477,58.999,1013.242,1116.761,0.01,0.018
0.11,0.323,11.186,7.655,11.186,7.655,0,0,0,0,0,0,28.61,-80.6,0.999,30.307,0,0,0,653.355,85.636,2.144,0.024,NaN,27.514,NaN,0.012,3.051e5,55.482,0.037,0.774,0.851,0.38,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.451e-5,3,7.069,90,0,6.538,58.999,1013.238,1116.76,0.01,0.019
0.12,0.449,13.963,8.632,13.963,8.632,0,0,0,0,0,0,28.61,-80.6,0.999,25.297,0,0,0,653.097,85.377,2.143,0.024,NaN,27.508,NaN,0.014,3.637e5,61.734,0.057,0.759,0.922,0.365,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.556e-5,3,7.069,90,0,6.599,58.998,1013.234,1116.76,0.01,0.02
0.13,0.604,17.032,9.54,17.032,9.54,0,0,0,0,0,0,28.61,-80.6,0.999,21.358,0,0,0,652.801,85.082,2.141,0.024,NaN,27.501,NaN,0.016,4.307e5,67.549,0.083,0.746,0.951,0.352,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.778e-5,3,7.069,90,0,6.66,58.998,1013.228,1116.759,0.01,0.022
0.14,0.791,20.293,10.136,20.293,10.136,0,0,0,0,0,0,28.61,-80.6,0.999,18.326,0,0,0,652.473,84.754,2.14,0.024,NaN,27.493,NaN,0.019,5.035e5,71.358,0.113,0.735,0.953,0.341,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.076e-5,3,7.069,90,0,6.722,58.997,1013.222,1116.758,0.01,0.023
0.15,1.011,23.674,10.508,23.674,10.508,0,0,0,0,0,0,28.61,-80.6,0.999,15.987,0,0,0,652.133,84.414,2.139,0.024,NaN,27.484,NaN,0.022,5.8e5,73.737,0.148,0.725,0.94,0.33,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.421e-5,3,7.069,90,0,6.783,58.996,1013.214,1116.758,0.01,0.024
0.16,1.265,27.13,10.743,27.13,10.743,0,0,0,0,0,0,28.61,-80.6,0.999,14.004,0,0,0,651.777,84.057,2.138,0.024,NaN,27.476,NaN,0.025,6.585e5,75.233,0.185,0.716,0.913,0.322,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08e-4,3,7.069,90,0,6.767,58.995,1013.205,1116.757,0.01,0.025
0.17,1.554,30.645,10.925,30.645,10.925,0,0,0,0,0,0,28.61,-80.6,0.999,12.422,0,0,0,651.421,83.701,2.136,0.024,NaN,27.467,NaN,0.028,7.39e5,76.398,0.226,0.708,0.883,0.314,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22e-4,3,7.069,90,0,6.75,58.994,1013.194,1116.755,0.01,0.026
0.18,1.878,34.219,11.108,34.219,11.108,0,0,0,0,0,0,28.61,-80.6,0.999,11.133,0,0,0,651.064,83.345,2.135,0.024,NaN,27.459,NaN,0.031,8.214e5,77.564,0.27,0.702,0.854,0.308,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.362e-4,3,7.069,90,0,6.734,58.993,1013.183,1116.754,0.01,0.027
0.19,2.223,37.701,11.286,37.701,11.286,0,0,0,0,0,0,28.61,-80.6,0.999,10.105,0,0,0,650.723,83.004,2.134,0.024,NaN,27.45,NaN,0.034,9.019e5,78.705,0.316,0.696,0.83,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5e-4,3,7.069,90,0,6.719,58.992,1013.171,1116.753,0.01,0.028
0.198,2.565,40.907,11.451,40.907,11.451,0,0,0,0,0,0,28.61,-80.6,0.999,9.308,0,0,0,650.41,82.691,2.132,0.024,NaN,27.443,NaN,0.037,9.762e5,79.769,0.363,0.696,0.815,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.628e-4,3,7.069,90,0,6.705,58.991,1013.158,1116.751,0.009,0.029
0.206,2.905,43.897,11.585,43.897,11.585,0,0,0,0,0,0,28.61,-80.6,0.999,8.715,0,0,0,650.105,82.386,2.131,0.024,NaN,27.435,NaN,0.04,1.046e6,80.634,0.412,0.696,0.804,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.747e-4,3,7.069,90,0,6.729,58.99,1013.146,1116.75,0.008,0.031
0.214,3.243,46.711,11.699,46.711,11.699,0,0,0,0,0,0,28.61,-80.6,0.999,8.236,0,0,0,649.821,82.101,2.13,0.024,NaN,27.428,NaN,0.042,1.112e6,81.374,0.46,0.696,0.795,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.859e-4,3,7.069,90,0,6.761,58.988,1013.134,1116.749,0.007,0.032
# Event LAUNCHROD occurred at t=0.221 seconds
0.221,3.581,49.379,11.805,49.379,11.805,0,0,0,0,0,0,28.61,-80.6,0.999,7.831,0,0,0,649.553,81.834,2.129,0.024,NaN,27.422,NaN,0.045,1.174e6,82.067,0.508,0.696,0.788,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.965e-4,3,7.069,90,0,6.792,58.987,1013.122,1116.747,0.007,0.033
0.231,4.122,53.423,11.933,53.423,11.934,-2.96e-4,0,2.96e-4,-180,0.057,0.172,28.61,-80.6,0.999,7.229,0,0.002,3.814e-7,649.153,81.433,2.128,0.024,31.477,27.412,1.355,0.048,1.268e6,82.906,0.585,0.696,0.777,0.301,0.274,0.12,1.457,1.974,-4.346e-4,0,0,0,0,2.595e-4,2.126e-4,3,7.069,89.996,-0.005,6.837,58.985,1013.103,1116.745,0.011,0.034
0.247,5.015,59.586,12.123,59.586,12.124,-0.002,0,0.002,-180,0.147,0.181,28.61,-80.6,0.999,6.446,0,0.005,-6.042e-7,648.551,80.832,2.125,0.024,31.642,27.398,1.415,0.054,1.412e6,84.164,0.712,0.696,0.763,0.301,0.274,0.12,1.27,1.795,-2.607e-4,0,0,0,0,0.001,2.371e-4,3,7.069,89.975,-7.294e-4,6.905,58.982,1013.071,1116.742,0.016,0.034
0.271,6.539,68.989,12.326,68.989,12.328,-0.007,-1.184e-8,0.007,-180,0.286,0.182,28.61,-80.6,0.999,5.428,0,0.011,-7.602e-8,647.61,79.891,2.122,0.024,31.869,27.375,1.498,0.062,1.632e6,85.554,0.931,0.696,0.747,0.301,0.274,0.121,1.037,1.549,1.591e-5,0,0,0,0,0.005,2.746e-4,3,7.069,89.905,1.072e-4,6.958,58.977,1013.016,1116.736,0.024,0.035
0.306,9.247,83.33,12.526,83.331,12.527,-0.021,-5.28e-8,0.021,-180,0.479,0.148,28.61,-80.6,0.999,4.166,0,0.021,-3.551e-6,646.188,78.469,2.116,0.024,32.173,27.34,1.611,0.075,1.968e6,87.02,1.32,0.697,0.728,0.301,0.275,0.121,0.766,1.221,-2.621e-4,0,0,0,0,0.012,3.316e-4,3,7.069,89.698,0.002,6.991,58.967,1012.919,1116.725,0.036,0.036
0.343,12.599,98.379,12.655,98.381,12.655,-0.041,1.126e-8,0.041,180,0.604,0.053,28.61,-80.6,0.999,2.981,0,0.033,1.311e-6,644.681,76.962,2.11,0.024,32.484,27.303,1.727,0.088,2.321e6,88.112,1.8,0.697,0.714,0.301,0.275,0.121,0.527,0.891,-4.149e-4,0,0,0,0,0.02,3.915e-4,3,7.069,89.341,0.002,6.861,58.955,1012.8,1116.712,0.037,0.037
0.38,16.443,113.285,12.726,113.287,12.727,-0.063,3.718e-7,0.063,180,0.579,0.105,28.61,-80.6,0.999,1.898,8.626e-9,0.043,-4.543e-6,643.198,75.479,2.104,0.024,32.791,27.266,1.842,0.102,2.671e6,88.92,2.353,0.698,0.705,0.301,0.275,0.121,0.324,0.57,-2.856e-4,0,0,0,0,0.027,4.508e-4,3,7.069,88.844,0.003,6.619,58.941,1012.662,1116.697,0.036,0.038
0.422,21.664,130.911,12.768,130.911,12.772,-0.082,1.733e-6,0.082,179.999,0.265,0.347,28.61,-80.6,0.999,0.91,2.311e-8,0.052,-7.263e-6,641.431,73.712,2.097,0.024,33.094,27.222,1.957,0.117,3.085e6,89.738,3.119,0.698,0.7,0.301,0.275,0.122,0.15,0.265,-2.651e-4,0,0,0,0,0.029,5.21e-4,3,7.069,88.107,0.003,6.653,58.923,1012.476,1116.676,0.043,0.039
0.472,28.726,151.526,12.744,151.527,12.764,-0.077,5.875e-6,0.077,179.996,0.572,0.709,28.61,-80.6,0.999,0.142,-1.027e-7,-0.056,1.378e-5,639.347,71.628,2.089,0.024,33.346,27.17,2.059,0.136,3.571e6,90.45,4.173,0.699,0.699,0.301,0.276,0.122,0.023,0.072,-3.684e-4,0,0,0,0,-0.025,6.03e-4,3,7.069,87.123,0.001,6.636,58.898,1012.223,1116.648,0.05,0.04
0.522,36.817,172.046,12.666,172.058,12.714,-0.014,1.118e-5,0.014,179.954,2.056,1.094,28.61,-80.6,0.999,0.957,7.809e-8,-0.045,-1.925e-5,637.259,69.54,2.081,0.024,33.085,27.117,1.989,0.154,4.054e6,91.065,5.402,0.7,0.702,0.301,0.276,0.123,0.158,0.327,1.025e-6,0,0,0,0,-0.012,6.847e-4,3,7.069,86.201,-0.002,6.391,58.869,1011.934,1116.616,0.05,0.041
0.553,42.351,184.602,12.517,184.631,12.583,0.068,1.296e-5,0.068,0.011,3.254,1.282,28.61,-80.6,0.999,1.204,-1.008e-7,-0.031,1.239e-5,635.961,68.241,2.076,0.024,33.01,27.084,1.975,0.166,4.35e6,90.891,6.237,0.701,0.704,0.301,0.277,0.124,0.201,0.402,2.119e-4,0,0,0,0,-0.005,7.348e-4,3,7.069,85.774,-0.004,6.477,58.849,1011.736,1116.595,0.031,0.043
0.576,46.597,193.588,12.393,193.634,12.468,0.152,1.185e-5,0.152,0.004,4.212,1.362,28.61,-80.6,0.999,1.241,0,-0.019,-1.383e-5,635.021,67.302,2.072,0.024,33,27.06,1.98,0.174,4.562e6,90.669,6.867,0.702,0.705,0.301,0.277,0.124,0.207,0.412,3.54e-4,0,0,0,0,-0.002,7.706e-4,3,7.069,85.569,-0.005,6.574,58.834,1011.584,1116.578,0.022,0.044
0.596,50.531,201.484,12.287,201.548,12.365,0.244,8.393e-6,0.244,0.002,5.095,1.389,28.61,-80.6,0.999,1.19,-1.356e-8,-0.008,-7.97e-6,634.188,66.469,2.069,0.024,33.018,27.039,1.993,0.181,4.748e6,90.493,7.443,0.702,0.705,0.301,0.277,0.124,0.198,0.395,8.928e-5,0,0,0,0,-2.876e-4,8.021e-4,3,7.069,85.471,-0.007,6.659,58.82,1011.444,1116.562,0.02,0.045
0.615,54.458,209.013,12.195,209.098,12.272,0.35,2.155e-6,0.35,3.527e-4,5.947,1.371,28.61,-80.6,0.999,1.061,0,0.003,-1.03e-5,633.39,65.671,2.065,0.024,33.059,27.019,2.013,0.188,4.926e6,90.379,8.011,0.703,0.705,0.301,0.278,0.125,0.176,0.355,-2.33e-4,0,0,0,0,3.804e-5,8.322e-4,3,7.069,85.455,-0.008,6.78,58.806,1011.303,1116.547,0.019,0.047
0.635,58.675,216.761,12.119,216.868,12.19,0.476,-7.827e-6,0.476,-9.413e-4,6.803,1.31,28.61,-80.6,0.999,0.864,-1.644e-8,0.014,-1.399e-5,632.565,64.846,2.062,0.024,33.123,26.998,2.042,0.195,5.108e6,90.375,8.614,0.703,0.705,0.3,0.278,0.125,0.142,0.29,4.181e-4,0,0,0,0,7.138e-4,8.631e-4,3,7.069,85.515,-0.008,6.916,58.791,1011.153,1116.53,0.02,0.049
0.657,63.642,225.489,12.034,225.621,12.093,0.64,-2.37e-5,0.64,-0.002,7.71,1.197,28.61,-80.6,0.999,0.601,-2.792e-8,0.023,-2.679e-5,631.63,63.911,2.058,0.024,33.209,26.974,2.078,0.202,5.314e6,90.375,9.321,0.704,0.705,0.3,0.278,0.125,0.098,0.202,4.904e-4,0,0,0,0,0.002,8.98e-4,3,7.069,85.666,-0.009,7.011,58.773,1010.975,1116.511,0.022,0.05
0.687,70.535,236.975,11.916,237.137,11.958,0.886,-5.235e-5,0.886,-0.003,8.767,1.003,28.61,-80.6,0.999,0.24,-9.258e-8,0.031,-7.011e-5,630.389,62.669,2.053,0.024,33.329,26.942,2.129,0.213,5.584e6,90.375,10.297,0.705,0.705,0.3,0.279,0.126,0.039,0.08,4.387e-4,0,0,0,0,0.003,9.439e-4,3,7.069,85.966,-0.01,6.969,58.748,1010.729,1116.484,0.03,0.051
0.732,81.512,253.944,11.694,254.139,11.713,1.306,-1.105e-4,1.306,-0.005,9.955,0.671,28.61,-80.6,0.999,0.259,-2.742e-7,-0.03,1.676e-5,628.533,60.814,2.046,0.024,33.327,26.894,2.144,0.228,5.983e6,90.182,11.844,0.706,0.706,0.3,0.279,0.127,0.042,0.092,-4.663e-4,0,0,0,0,-0.002,0.001,3,7.069,86.482,-0.011,6.933,58.709,1010.336,1116.44,0.045,0.058
0.778,93.639,270.963,11.335,271.174,11.343,1.784,-1.884e-4,1.784,-0.006,10.704,0.418,28.61,-80.6,0.999,0.532,1.345e-8,-0.012,-3.37e-5,626.633,58.914,2.038,0.024,33.242,26.844,2.133,0.243,6.382e6,89.332,13.515,0.708,0.708,0.3,0.28,0.128,0.087,0.185,-4.994e-4,0,0,0,0,-3.502e-4,0.001,3,7.069,86.838,-0.009,6.942,58.666,1009.903,1116.393,0.046,0.06
0.799,99.402,278.452,11.053,278.667,11.059,2.012,-2.269e-4,2.012,-0.006,10.95,0.357,28.61,-80.6,0.999,0.558,-4.056e-8,2.066e-4,-5.163e-6,625.776,58.057,2.034,0.024,33.236,26.822,2.138,0.25,6.557e6,88.254,14.284,0.708,0.709,0.3,0.281,0.128,0.091,0.195,-1.454e-4,0,0,0,0,1.006e-7,0.001,3,7.069,86.879,-0.006,6.956,58.646,1009.697,1116.37,0.021,0.065
0.819,105.054,285.473,10.833,285.692,10.84,2.233,-2.639e-4,2.233,-0.007,11.186,0.393,28.61,-80.6,0.999,0.462,-2.282e-8,0.011,3.967e-6,624.979,57.26,2.031,0.024,33.269,26.801,2.156,0.256,6.721e6,87.557,15.018,0.709,0.709,0.3,0.281,0.129,0.075,0.162,4.205e-5,0,0,0,0,2.621e-4,0.001,3,7.069,86.837,-0.005,6.893,58.625,1009.495,1116.348,0.02,0.067
0.842,111.672,293.312,10.589,293.538,10.601,2.493,-3.059e-4,2.493,-0.007,11.509,0.498,28.61,-80.6,0.999,0.284,-7.607e-8,0.02,-1.937e-5,624.071,56.351,2.027,0.024,33.329,26.777,2.184,0.263,6.904e6,86.836,15.86,0.71,0.71,0.299,0.281,0.129,0.046,0.099,-2.453e-4,0,0,0,0,8.536e-4,0.001,3,7.069,86.706,-0.005,6.816,58.602,1009.258,1116.322,0.023,0.068
0.876,121.93,304.724,10.236,304.967,10.26,2.898,-3.689e-4,2.898,-0.007,12.17,0.702,28.61,-80.6,0.999,8.069e-4,5.225e-8,-0.023,-0.008,622.708,54.989,2.022,0.024,33.427,26.741,2.229,0.274,7.171e6,85.875,17.135,0.711,0.711,0.299,0.282,0.13,1.293e-4,0.002,2.708e-5,0,0,0,0,-0.001,0.001,3,7.069,86.414,-0.004,6.86,58.565,1008.891,1116.281,0.034,0.07
0.926,137.565,320.579,9.705,320.864,9.747,3.539,-4.575e-4,3.539,-0.007,13.521,0.91,28.61,-80.6,0.999,0.251,-2.064e-8,-0.013,5.344e-6,620.757,53.038,2.013,0.024,33.348,26.689,2.22,0.288,7.542e6,84.391,19.007,0.712,0.713,0.299,0.283,0.131,0.041,0.09,-1.751e-5,0,0,0,0,-3.037e-4,0.001,3,7.069,86.041,-0.004,6.987,58.509,1008.332,1116.22,0.05,0.071
0.953,146.346,328.715,9.287,329.028,9.335,3.916,-5.07e-4,3.916,-0.007,14.349,0.951,28.61,-80.6,0.999,0.304,-1.847e-8,-0.002,-4.627e-5,619.719,52,2.009,0.024,33.334,26.661,2.224,0.295,7.732e6,82.77,20.011,0.713,0.714,0.299,0.283,0.131,0.049,0.109,3.395e-4,0,0,0,0,-6.224e-6,0.001,3,7.069,85.967,-0.006,7.057,58.478,1008.018,1116.185,0.027,0.072
0.978,154.655,336.004,9,336.342,9.041,4.284,-5.544e-4,4.284,-0.007,15.081,0.864,28.61,-80.6,0.999,0.213,-1.277e-8,0.008,-2.767e-5,618.778,51.058,2.005,0.024,33.366,26.636,2.243,0.302,7.903e6,81.816,20.926,0.714,0.714,0.299,0.284,0.132,0.034,0.077,4.333e-5,0,0,0,0,1.031e-4,0.001,3,7.069,86,-0.009,7.164,58.448,1007.721,1116.152,0.025,0.074
1.013,166.369,345.134,8.131,345.5,8.158,4.817,-6.297e-4,4.817,-0.007,15.886,0.653,28.61,-80.6,0.999,0.048,-1.492e-7,0.013,-7.079e-5,617.558,49.839,2,0.024,33.424,26.603,2.274,0.31,8.115e6,77.53,22.095,0.715,0.715,0.299,0.284,0.132,0.008,0.017,-3.66e-4,0,0,0,0,2.786e-4,0.001,3,7.069,86.15,-0.012,7.108,58.407,1007.303,1116.106,0.034,0.075
1.063,183.838,353.422,4.963,353.805,4.971,5.627,-7.544e-4,5.627,-0.008,16.46,0.289,28.61,-80.6,0.999,0.102,-2.425e-7,-0.01,8.564e-5,616.195,48.475,1.994,0.024,33.409,26.567,2.281,0.317,8.302e6,59.231,23.167,0.716,0.716,0.299,0.285,0.133,0.016,0.038,2.164e-4,0,0,0,0,-1.364e-4,0.001,3,7.069,86.392,-0.009,6.622,58.344,1006.679,1116.037,0.05,0.075
1.113,201.487,353.114,-0.188,353.491,0.194,6.446,-8.883e-4,6.446,-0.008,16.322,0.045,28.61,-80.6,0.999,0.109,8.009e-8,0.002,-2.284e-5,615.546,47.826,1.991,0.024,33.406,26.549,2.286,0.317,8.295e6,28,23.135,0.716,0.716,0.299,0.285,0.133,0.018,0.04,1.438e-4,0,0,0,0,5.724e-6,0.001,3,7.069,86.455,-0.004,6.422,58.281,1006.047,1115.968,0.05,0.076
1.158,217.455,347.405,-3.823,347.771,3.827,7.181,-9.949e-4,7.181,-0.008,15.97,0.182,28.61,-80.6,0.999,9.287e-4,-1.202e-7,0.006,0.003,615.427,47.708,1.991,0.024,33.441,26.546,2.298,0.312,8.158e6,5.282,22.361,0.715,0.715,0.299,0.284,0.133,1.49e-4,5.853e-4,-2.211e-4,0,0,0,0,4.779e-5,0.001,3,7.069,86.349,-0.009,6.143,58.225,1005.476,1115.905,0.046,0.077
# Event BURNOUT occurred at t=1.192 seconds
1.192,229.149,342.43,-4.508,342.792,4.511,7.719,-0.001,7.719,-0.008,15.763,0.166,28.61,-80.6,0.999,0.08,-5.144e-8,-0.005,-2.36e-5,615.419,47.7,1.991,0.024,33.413,26.546,2.289,0.307,8.039e6,0.5,21.7,0.715,0.715,0.299,0.284,0.132,0.013,0.029,-5.404e-5,0,0,0,0,-4.333e-5,0.001,3,7.069,86.263,-0.018,6.087,58.183,1005.058,1115.859,0.034,0.077
1.242,246.088,335.17,-4.435,335.529,4.438,8.501,-0.001,8.501,-0.008,15.52,0.163,28.61,-80.6,0.999,0.082,-5.743e-8,0.002,6.846e-5,615.419,47.7,1.991,0.024,33.41,26.546,2.288,0.301,7.865e6,0,20.756,0.714,0.714,0.299,0.283,0.132,0.013,0.03,-6.328e-5,0,0,0,0,7.007e-6,0.001,3,7.069,86.24,-0.022,5.936,58.122,1004.453,1115.792,0.05,0.079
1.292,262.67,328.16,-4.282,328.511,4.289,9.269,-0.001,9.269,-0.009,15.2,0.242,28.61,-80.6,0.999,0.04,-7.378e-8,-0.004,-2.811e-5,615.419,47.7,1.991,0.024,33.421,26.546,2.292,0.295,7.698e6,0,19.869,0.713,0.713,0.299,0.283,0.131,0.006,0.015,1.835e-4,0,0,0,0,-2.259e-5,0.001,3,7.069,86.323,-0.014,6.175,58.063,1003.86,1115.727,0.05,0.08
1.342,278.908,321.387,-4.141,321.726,4.15,10.019,-0.002,10.019,-0.009,14.756,0.273,28.61,-80.6,0.998,0.098,-9.265e-8,0.002,-1.182e-4,615.419,47.7,1.991,0.024,33.4,26.546,2.285,0.289,7.537e6,0,19.031,0.713,0.713,0.299,0.283,0.131,0.016,0.036,-3.695e-5,0,0,0,0,8.156e-6,0.001,3,7.069,86.352,-0.006,6.4,58.005,1003.28,1115.663,0.05,0.081
1.392,294.812,314.833,-4.01,315.158,4.019,10.745,-0.002,10.745,-0.01,14.299,0.269,28.61,-80.6,0.998,0.101,3.308e-8,0.009,-7.42e-5,615.419,47.7,1.991,0.024,33.397,26.546,2.284,0.283,7.381e6,0,18.242,0.712,0.712,0.299,0.282,0.13,0.016,0.037,-2.557e-4,0,0,0,0,1.644e-4,0.001,3,7.069,86.235,-0.002,7.032,57.949,1002.711,1115.6,0.05,0.082
1.442,310.394,308.477,-3.894,308.793,3.896,11.451,-0.002,11.451,-0.01,13.971,0.136,28.61,-80.6,0.998,0.1,-2.124e-7,-0.01,1.944e-5,615.419,47.7,1.991,0.024,33.395,26.546,2.283,0.277,7.23e6,0,17.488,0.711,0.711,0.299,0.282,0.13,0.016,0.037,4.311e-5,0,0,0,0,-1.852e-4,0.001,3,7.069,86.023,-0.016,6.845,57.893,1002.154,1115.539,0.05,0.084
1.492,325.663,302.304,-3.778,302.62,3.779,12.145,-0.002,12.145,-0.01,13.82,0.099,28.61,-80.6,0.998,0.157,-1.717e-7,-2.947e-4,-5.472e-6,615.419,47.7,1.991,0.024,33.374,26.546,2.276,0.272,7.083e6,0,16.775,0.711,0.711,0.299,0.282,0.13,0.025,0.058,-1.025e-4,0,0,0,0,-1.736e-7,0.001,3,7.069,85.923,-0.027,6.771,57.839,1001.608,1115.479,0.05,0.084
1.541,340.391,296.413,-3.663,296.727,3.667,12.821,-0.002,12.821,-0.011,13.635,0.156,28.61,-80.6,0.998,0.052,8.675e-9,0.006,-3.637e-5,615.419,47.7,1.991,0.024,33.408,26.546,2.287,0.266,6.943e6,0,16.109,0.71,0.71,0.299,0.281,0.129,0.008,0.019,3.265e-4,0,0,0,0,8.17e-5,0.001,3,7.069,86.001,-0.018,6.825,57.786,1001.082,1115.421,0.049,0.085
